;name;link;down_salary;top_salary;website_origin;salary_value
0;Инженер-конструктор;https://russia.superjob.ru/vakansii/inzhener-konstruktor-33625825.html;None;None;russia.superjob.ru;None
1;Ведущий инженер-конструктор отдела АЭС;https://russia.superjob.ru/vakansii/veduschij-inzhener-konstruktor-otdela-aes-33625836.html;None;None;russia.superjob.ru;None
2;Инженер технической поддержки;https://russia.superjob.ru/vakansii/inzhener-tehnicheskoj-podderzhki-33689382.html;None;25000;russia.superjob.ru;руб.
3;Инженер по охране окружающей среды / Эколог;https://russia.superjob.ru/vakansii/inzhener-po-ohrane-okruzhayuschej-sredy-26658842.html;60000;None;russia.superjob.ru;руб.
4;Инженер ПТО;https://russia.superjob.ru/vakansii/inzhener-pto-33689080.html;None;None;russia.superjob.ru;None
5;Инженер бюро по гарантии;https://russia.superjob.ru/vakansii/inzhener-byuro-po-garantii-33683746.html;35000;49000;russia.superjob.ru;руб.
6;Инженер по санитарно-техническим системам;https://russia.superjob.ru/vakansii/inzhener-po-sanitarno-tehnicheskim-sistemam-33585092.html;None;None;russia.superjob.ru;None
7;Инженер-энергетик региона (главный энергетик);https://russia.superjob.ru/vakansii/inzhener-energetik-regiona-33499804.html;None;None;russia.superjob.ru;None
8;Инженер 2 категории;https://russia.superjob.ru/vakansii/inzhener-2-kategorii-33736218.html;77000;None;russia.superjob.ru;руб.
9;Ведущий инженер ПТО (слаботочные сети и электрика);https://russia.superjob.ru/vakansii/veduschij-inzhener-pto-33770202.html;70000;80000;russia.superjob.ru;руб.
10;Инженер-конструктор;https://russia.superjob.ru/vakansii/inzhener-konstruktor-33444787.html;25000;30000;russia.superjob.ru;руб.
11;Специалист службы безопасности / Инженер по режиму;https://russia.superjob.ru/vakansii/specialist-sluzhby-bezopasnosti-29023425.html;None;None;russia.superjob.ru;None
12;Инженер-проектировщик ПОС (проекты организации строительства);https://russia.superjob.ru/vakansii/inzhener-proektirovschik-pos-31380123.html;None;None;russia.superjob.ru;None
13;Инженер строительного контроля;https://russia.superjob.ru/vakansii/inzhener-stroitelnogo-kontrolya-32069419.html;None;None;russia.superjob.ru;None
14;Инженер КИПиА;https://russia.superjob.ru/vakansii/inzhener-kipia-25864694.html;25000;None;russia.superjob.ru;руб.
