;id;name;link;website_origin;down_salary;top_salary;salary_value
0;1;Инженер;https://hh.ru/vacancy/36710920?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;0;0;0
1;2;Главный инженер по разработке (инженер-программист);https://hh.ru/vacancy/36532288?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;0;0;0
2;3;Инженер связи (г. Москва);https://hh.ru/vacancy/36656978?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;0;150000;руб.
3;4;Специалист по автоматизации тестирования / Junior QA Automation Engineer;https://hh.ru/vacancy/36678188?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;0;0;0
4;5;Ведущий инженер- эколог;https://hh.ru/vacancy/36663137?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;80000;0;руб.
5;6;Инженер испытатель в ИЛ;https://hh.ru/vacancy/36433976?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;50000;80000;руб.
6;7;Инженер-обследователь;https://hh.ru/vacancy/36661881?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;80000;0;руб.
7;8;Ведущий инженер ОВиК;https://hh.ru/vacancy/36099536?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;100000;300000;руб.
8;9;Инженер нефтегазового дела;https://hh.ru/vacancy/36494585?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;0;0;0
9;10;Кадастровый инженер/помощник кадастрового инженера;https://hh.ru/vacancy/36526843?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;50000;140000;руб.
10;11;Инженер-испытатель;https://hh.ru/vacancy/36306134?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;60000;0;руб.
11;12;Инженер-испытатель/инженер-программист (цифровые микросхемы);https://hh.ru/vacancy/36446269?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;0;0;0
12;13;Инженер;https://hh.ru/vacancy/36550590?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;100000;0;руб.
13;14;Главный инженер проекта;https://hh.ru/vacancy/36446206?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;120000;0;руб.
14;15;Инженер по эксплуатации оборудования (пищевое производство);https://hh.ru/vacancy/36449017?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;60000;0;руб.
15;16;Инженер электролаборатории;https://hh.ru/vacancy/36528487?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;60000;70000;руб.
16;17;Ведущий инженер / главный инженер по направлению телекоммуникации и системы связи;https://hh.ru/vacancy/36316012?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;0;0;0
17;18;Инженер ПТО (офис);https://hh.ru/vacancy/36712567?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;80000;0;руб.
18;19;Инженер-сметчик;https://hh.ru/vacancy/36660334?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;70000;90000;руб.
19;20;Главный инженер по эксплуатации;https://hh.ru/vacancy/36593858?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;200000;0;руб.
20;21;Инженер ПТО;https://hh.ru/vacancy/36691714?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;80000;90000;руб.
21;22;Ведущий Инженер-конструктор;https://hh.ru/vacancy/36696269?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;80000;200000;руб.
22;23;Младший инженер;https://hh.ru/vacancy/36557049?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;30000;0;руб.
23;24;Инженер АСУТП;https://hh.ru/vacancy/36606167?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;70000;0;руб.
24;25;Инженер ОТК;https://hh.ru/vacancy/36713764?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;50000;60000;руб.
25;26;Инженер-электрик/Инженер по эксплуатации зданий (м. Тимирязевская);https://hh.ru/vacancy/36694222?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;0;70000;руб.
26;27;Инженер по качеству/лаборант;https://hh.ru/vacancy/36445902?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;42000;0;руб.
27;28;Инженер-конструктор;https://hh.ru/vacancy/36367268?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;75000;0;руб.
28;29;Инженер в сфере электроэнергетики ВЛ 0,4-500 кВ;https://hh.ru/vacancy/36608057?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;60000;90000;руб.
29;30;Инженер по строительству и эксплуатации;https://hh.ru/vacancy/36620524?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;0;0;0
30;31;Инженер-конструктор;https://hh.ru/vacancy/36714165?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;110000;150000;руб.
31;32;Инженер ПТО;https://hh.ru/vacancy/36658116?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;60000;70000;руб.
32;33;Инженер по продажам (промышленное оборудование);https://hh.ru/vacancy/35075733?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;150000;0;руб.
33;34;Ведущий инженер / пре-сейл инженер;https://hh.ru/vacancy/36695814?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;80000;0;руб.
34;35;Инженер;https://hh.ru/vacancy/36313721?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;45000;55000;руб.
35;36;Инженер по оказанию компьютерной помощи;https://hh.ru/vacancy/36377432?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;50000;0;руб.
36;37;Инженер- химик (микробиолог);https://hh.ru/vacancy/36654717?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;60000;70000;руб.
37;38;Ведущий инженер-проектировщик (Эколог);https://hh.ru/vacancy/36664001?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;70000;0;руб.
38;39;Инженер по эксплуатации зданий;https://hh.ru/vacancy/36703208?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;0;80000;руб.
39;40;Инженер-проектировщик / Инженер-конструктор (лестницы на металлическом каркасе);https://hh.ru/vacancy/36364717?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;70000;0;руб.
40;41;Главный инженер проекта/Ведущий Инженер-конструктор (Инженер конструктор);https://hh.ru/vacancy/36527052?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;80000;150000;руб.
41;42;Сервисный инженер;https://hh.ru/vacancy/36559598?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;50000;70000;руб.
42;43;Инженер-сметчик;https://hh.ru/vacancy/36527924?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;0;0;0
43;44;Сервисный инженер;https://hh.ru/vacancy/36639354?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;80000;0;руб.
44;45;Инженер по применению;https://hh.ru/vacancy/35906195?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;0;0;0
45;46;Системный инженер;https://hh.ru/vacancy/36651724?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;100000;0;руб.
46;47;Ведущий инженер производственного отдела (списание ТМЦ);https://hh.ru/vacancy/36556759?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;100000;0;руб.
47;48;Главный инженер проекта (ГИП);https://hh.ru/vacancy/36712448?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;120000;0;руб.
48;49;BIM-инженер;https://hh.ru/vacancy/36713719?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;80000;90000;руб.
49;50;Ведущий инженер-сметчик;https://hh.ru/vacancy/36646295?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;75000;0;руб.
50;0;Инженер;https://hh.ru/vacancy/36710920?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;0;0;0
51;1;Главный инженер по разработке (инженер-программист);https://hh.ru/vacancy/36532288?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;0;0;0
52;2;Инженер связи (г. Москва);https://hh.ru/vacancy/36656978?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;0;150000;руб.
53;3;Специалист по автоматизации тестирования / Junior QA Automation Engineer;https://hh.ru/vacancy/36678188?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;0;0;0
54;4;Ведущий инженер- эколог;https://hh.ru/vacancy/36663137?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;80000;0;руб.
55;5;Инженер испытатель в ИЛ;https://hh.ru/vacancy/36433976?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;50000;80000;руб.
56;6;Инженер-обследователь;https://hh.ru/vacancy/36661881?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;80000;0;руб.
57;7;Ведущий инженер ОВиК;https://hh.ru/vacancy/36099536?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;100000;300000;руб.
58;8;Инженер нефтегазового дела;https://hh.ru/vacancy/36494585?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;0;0;0
